	AveExpr	Coef.Grp1	Coef.Grp2vs1	t.Grp1	t.Grp2vs1	P.value.Grp1	P.value.Grp2vs1	F	F.p.value
Gene 46	0.227824773351373	0.294623492111657	-0.133597437520567	1.46590652603183	-0.47002616639363	0.183585008939323	0.651792232895856	1.39539299604465	0.305720844761868
Gene 47	0.0604299412145842	0.180014297561256	-0.239168712693343	1.29440577003463	-1.21605385332304	0.234218800824625	0.261103590024872	0.928206196248592	0.436601714984389
Gene 48	-0.147538886299547	-0.159039256323691	0.0230007400482872	-1.03968690187954	0.106322467800766	0.331061470756653	0.918134544680829	0.935923216383584	0.433915324758201
Gene 49	0.164230443646175	0.341992205003336	-0.355523522714323	1.45788557990656	-1.07166877183711	0.185717331758044	0.317368094845627	1.06437884234856	0.39212754360022
Gene 50	0.210159960846034	0.386806158385118	-0.35329239507817	2.78842624799979	-1.8008812375369	0.0253431065360443	0.112182097540665	3.91684468183756	0.0688156944415612
Gene 51	-0.0250563063885671	-0.101930656560798	0.153748700344461	-0.539108264760073	0.574999707371791	0.605549118965603	0.582241568243499	0.182874431437775	0.836502991547117
Gene 52	-0.0867924908180667	-0.00748432137445139	-0.158616338887231	-0.0606974912889536	-0.909601645612117	0.95319729704226	0.391522480546372	0.909138830719347	0.44333034427647
Gene 53	-0.126250974485222	-0.069990505303976	-0.112520938362491	-0.451988824036604	-0.513815161309381	0.664150461642606	0.622274241620259	0.796735051188344	0.485788402924346
Gene 54	-0.102551836546641	-0.245783044503443	0.286462415913604	-0.808918352918952	0.66666157166149	0.443636379172333	0.525100004183068	0.336136844386484	0.724829266249527
Gene 55	0.317959649208267	0.505858801811494	-0.375798305206452	2.55837542659786	-1.34392422779216	0.0357526162938307	0.218478285433351	3.48897938441636	0.0852859846695788
Gene 56	0.111714427286525	0.129069862404501	-0.0347108702359527	0.815459416481029	-0.155070079373457	0.440109656158568	0.880886293020604	0.510188737760065	0.619940880705357
Gene 57	-0.00323026765273675	-0.0845922633465794	0.162723991387685	-0.811862715626656	1.10430373879017	0.442046461129805	0.303862524095884	0.610704501070373	0.568075897752871
Gene 58	-0.0125056991121648	0.142942186077838	-0.310895770380005	1.07518894362128	-1.65357609765295	0.315888697722349	0.139615933422626	1.37600535421969	0.310071085777946
Gene 59	-0.124293044669433	-0.145742616172669	0.0428991430064709	-0.842869194434687	0.175431363474095	0.425543886161846	0.865416456471906	0.532090975167149	0.608143612333084
Gene 60	-0.129477604343815	-0.274214729410606	0.28947425013358	-1.41397183771768	1.05546763417144	0.197787789769403	0.324247776917054	1.00275382821194	0.411505723103129
Gene 61	0.0905235175857433	0.122980669123175	-0.0649143030748641	0.981218877733219	-0.366230444746765	0.357283342897368	0.724378274507384	0.588714433020864	0.578937509550633
Gene 62	-0.0578352520635838	0.0101963693747488	-0.136063242876665	0.0669938710046872	-0.632142999072834	0.94835011975104	0.546206014317117	0.34420142068269	0.719492913706568
Gene 63	0.0800836739359925	0.114705176759088	-0.0692430056461903	0.680186955014613	-0.290339545975461	0.51696946810445	0.779476608023684	0.267665137547282	0.77222329927815
Gene 64	0.263668767612328	0.126437169081035	0.274463197062585	0.52055338075921	0.79902363884636	0.617794836001032	0.449008349739773	1.49763474710702	0.284017457507937
Gene 65	-0.207355204543158	0.00984468272737933	-0.434399774541074	0.0829440308142229	-2.58796265984948	0.936081983401795	0.0341974293310949	6.40086093735557	0.024126197943994
Gene 66	0.0399214381244077	0.121870757238054	-0.163898638227292	0.786730531131711	-0.748146833566235	0.455744490512215	0.477331117584363	0.346276715111435	0.718127755173757
Gene 67	0.0188018138131894	-0.0290634947464118	0.0957306171192024	-0.204552079669015	0.476422128534168	0.843401456918018	0.647437490294468	0.13100004954121	0.879195361088417
Gene 68	0.0420473439044565	0.108581139435126	-0.133067591061338	0.761761596027714	-0.660118609710167	0.469637330704152	0.529061525368852	0.304895767526775	0.745981749584689
Gene 69	-0.121687831469945	-0.145822774461723	0.0482698859835551	-1.29531641296255	0.303187845371329	0.233920751491109	0.770042942099685	1.21437160021979	0.349579292955838
Gene 70	0.0751154675158917	0.0499133385963848	0.0504042578390137	0.312998758628176	0.223500357380837	0.762867013401325	0.829154657780481	0.246852415339571	0.787403960752581
Gene 71	0.0851810098438833	0.0546263775007721	0.0611092646862224	0.460149677043888	0.363989436590602	0.658545047168253	0.725982635754684	0.581092129790313	0.582763822772761
Gene 72	-0.0742639076398171	-0.215669540505737	0.28281126573184	-1.08148620485551	1.00279896880627	0.313255877422224	0.347425044504866	0.641484834983811	0.553302822026341
Gene 73	0.0995661292847884	0.0656262425984762	0.0678797733726245	0.345574445945167	0.252749012010127	0.739220704818675	0.807298249333085	0.306826264169913	0.74465214341377
Gene 74	-0.18813452951672	-0.457886591276128	0.539504123518815	-1.49674374938192	1.2470081671919	0.175590154719851	0.250186042348508	1.15570994145	0.365486583008742
Gene 75	-0.13545833404413	-0.0757093498184101	-0.119497968451441	-0.276435212344547	-0.308524296261047	0.789730164517727	0.766136724111106	0.292217670898483	0.754788889148365
Gene 76	0.0348540540245767	0.177763472287435	-0.285818836525717	1.21915157460206	-1.38608871687409	0.259993322730691	0.205807973667803	1.01776053426013	0.406676909441286
Gene 77	-0.282651379802801	-0.244839074121309	-0.0756246113629828	-0.856464665048141	-0.187058255393324	0.418446825906268	0.856610222963298	0.995091951429963	0.413999193688897
Gene 78	0.0364301573962412	0.248321694562752	-0.423783074333021	1.76557096253534	-2.13058626877729	0.118251266656334	0.0682663950968491	2.33678974805242	0.163054835996137
Gene 79	0.388188891829096	0.0554216773283924	0.665534429001406	0.251198951061231	2.13301389850195	0.808452178756635	0.0680159168488468	5.37060018067267	0.0359771369259039
Gene 80	-0.0379281650437217	-0.0112160052221988	-0.0534243196430458	-0.0936380871426398	-0.315383038322685	0.927866679185441	0.761126790544178	0.149998915418469	0.863245468614963
Gene 81	-0.0640049648619146	-0.074610515517455	0.0212111013110807	-0.669962391295674	0.13467860327586	0.52310847837933	0.896434509028735	0.339384009146268	0.722674590201413
Gene 82	0.144700144764058	-0.0112043314086631	0.311808952345443	-0.0906012401809899	1.78287862626354	0.930198720700926	0.115238448610099	2.95842542907372	0.113352415662064
Gene 83	0.0273542330000149	-0.0885616846365448	0.231831835273119	-0.590194866114641	1.09246525553646	0.572528580223804	0.308707521217654	0.62997153377964	0.55877094089546
Gene 84	-0.0404947674403869	-0.0474744080482887	0.0139592812158036	-0.335656597129952	0.0697884716802304	0.746389765957076	0.946199466283353	0.0844078845408332	0.919922986274577
Gene 85	0.170449207270634	0.297400760628045	-0.253903106714823	1.58547466281241	-0.957128499800704	0.154312771694278	0.368538752762857	1.28375156852973	0.331881519932467
Gene 86	-0.348054519220659	-0.151228791320376	-0.393651455800565	-0.702387341156757	-1.29282296714646	0.50379670134427	0.234737619730704	3.44893348526142	0.087072501431665
Gene 87	0.179778050226295	0.0188316037042941	0.321892893044003	0.0569846680940032	0.688758715121863	0.956056558997905	0.51185782413803	0.533141845200986	0.607584769166596
Gene 88	-0.0292524258373515	0.0383008217263262	-0.135106495127355	0.192792366981393	-0.480886930173813	0.852275066615901	0.644406228313326	0.137307516787401	0.873858986665978
Gene 89	-0.29516260033913	-0.472035091662844	0.353744982647428	-2.22879948345963	1.18106011532014	0.0588298583323942	0.273922967488162	2.63975047198013	0.135972473925309
Gene 90	0.240709635221194	0.401148918447656	-0.320878566452924	1.80274447549841	-1.01965736059907	0.111870213492879	0.339870517479206	1.6900073238816	0.24821939612518
Gene 91	0.0197578539872861	0.159453520408476	-0.27939133284238	1.51310681749349	-1.87470702879823	0.171476514948614	0.10043905983513	1.79241525879854	0.231489499083867
Gene 92	0.0911400779256764	0.111393967715768	-0.040507779580184	0.657491104791696	-0.169064198006824	0.530657558459602	0.870247652047518	0.303675812969448	0.746823531682233
Gene 93	-0.0880629334041863	0.0991668328738774	-0.374459532556127	0.464073396679531	-1.23911074405553	0.655858205988382	0.252934247623479	0.937532545744445	0.433357741920391
Gene 94	-0.111990754913642	-0.28174034516115	0.339499180495015	-1.46581901288741	1.24897872496462	0.183608155048386	0.249504258418827	1.11946390781917	0.375775938284827
Gene 95	0.00917218993558009	0.185033682821276	-0.351722985771391	1.30059710439413	-1.74814617089635	0.232198810372938	0.12135975391877	1.53216403917123	0.277131562027977
Gene 96	-0.0542696074435161	0.161263496261392	-0.431066207409816	0.891724066763401	-1.68547920012125	0.400436216803474	0.133187678750522	1.51047389818243	0.281431971835651
Gene 97	-0.218604144405218	-0.239760738099206	0.0423131873879763	-1.50515273193666	0.187829260119199	0.173465150992436	0.856027011768775	1.90094982308207	0.21528907153561
Gene 98	0.112466627577152	0.123541755452239	-0.0221502557501744	1.08746663390598	-0.137868775929115	0.31077174107742	0.893998672405977	0.989561701456889	0.415810869658064
Gene 99	-0.244985644061599	-0.258390795090262	0.0268103020573256	-2.00397424530744	0.147028594815654	0.0826730981796699	0.887011578681809	3.62084415369662	0.0797224176813739
Gene 100	-0.206140644468549	-0.334412613071592	0.256543937206085	-1.65456999429355	0.897530575929005	0.139411382092832	0.397525001457326	1.44301745073074	0.29535882904464
